shellH,element,row,col,cellArea,activeArea,areaFraction,outerEdgeCrossings,holeEdgeCrossings,totalBoundaryCrossings,holeOverlapCount,holeThroughCell,complexBoundary,sliverRisk,smallRetainedRegion,bboxFillRatio,minVisibleTriangleArea,triangleAreaEstimate,triangleAreaRelativeError,subCellDiv,triGaussN,visibleTriangles,candidateIntegrationPoints,acceptedIntegrationPoints,backend,policyReason,fallback,integrationPoints
819,1217,33,29,0.000771605,0.000764566,0.990878,0,2,2,1,1,0,0,0,0.990877,0,0,0,6,7,0,576,573,subcell,forced-subcell,0,573
819,1145,31,29,0.000771605,0.000226354,0.293354,0,2,2,1,1,0,0,0,0.293354,0,0,0,6,7,0,576,170,subcell,forced-subcell,0,170
819,1146,31,30,0.000771605,0.000770974,0.999182,0,1,1,1,1,0,0,0,0.999182,0,0,0,6,7,0,576,575,subcell,forced-subcell,0,575
819,1181,32,29,0.000771605,0.000544952,0.706258,0,2,2,1,1,0,0,0,0.706258,0,0,0,6,7,0,576,404,subcell,forced-subcell,0,404
819,974,27,2,0.000771605,0.000574846,0.745,0,1,1,1,1,0,0,0,1,0,0,0,6,7,0,576,432,subcell,forced-subcell,0,432
819,978,27,6,0.000771605,0.000435957,0.565,0,1,1,1,1,0,0,0,1,0,0,0,6,7,0,576,336,subcell,forced-subcell,0,336
819,1010,28,2,0.000771605,0.000574846,0.745,0,1,1,1,1,0,0,0,1,0,0,0,6,7,0,576,432,subcell,forced-subcell,0,432
819,1014,28,6,0.000771605,0.000435957,0.565,0,1,1,1,1,0,0,0,1,0,0,0,6,7,0,576,336,subcell,forced-subcell,0,336
819,274,7,22,0.000771605,1.02327e-05,0.0132616,0,5,5,1,1,1,1,1,0.144142,0,0,0,6,7,0,576,9,subcell,forced-subcell,0,9
819,275,7,23,0.000771605,0.000759847,0.984762,0,4,4,1,1,1,0,0,0.984762,0,0,0,6,7,0,576,564,subcell,forced-subcell,0,564
819,302,8,14,0.000771605,0.00075086,0.973115,0,3,3,1,1,1,0,0,0.973115,0,0,0,6,7,0,576,561,subcell,forced-subcell,0,561
819,303,8,15,0.000771605,0.000165512,0.214503,0,5,5,1,1,1,0,1,0.429873,0,0,0,6,7,0,576,123,subcell,forced-subcell,0,123
819,310,8,22,0.000771605,0.000299088,0.387618,0,7,7,1,1,1,0,0,0.41946,0,0,0,6,7,0,576,224,subcell,forced-subcell,0,224
819,671,18,23,0.000771605,0.000590116,0.764791,0,5,5,1,1,1,0,0,0.764791,0,0,0,6,7,0,576,439,subcell,forced-subcell,0,439
819,672,18,24,0.000771605,0.000364109,0.471886,0,5,5,1,1,1,0,0,0.858607,0,0,0,6,7,0,576,268,subcell,forced-subcell,0,268
819,673,18,25,0.000771605,0.00035883,0.465044,0,4,4,1,1,1,0,0,0.86647,0,0,0,6,7,0,576,264,subcell,forced-subcell,0,264
819,674,18,26,0.000771605,0.000568642,0.73696,0,5,5,1,1,1,0,0,0.736961,0,0,0,6,7,0,576,424,subcell,forced-subcell,0,424
819,627,17,15,0.000771605,0.000746253,0.967144,0,13,13,2,1,1,0,0,0.967144,0,0,0,6,7,0,576,553,subcell,forced-subcell,0,553
819,628,17,16,0.000771605,0.000746489,0.96745,0,16,16,3,1,1,0,0,0.96745,0,0,0,6,7,0,576,554,subcell,forced-subcell,0,554
819,629,17,17,0.000771605,0.000763803,0.989888,0,5,5,1,1,1,0,0,0.989888,0,0,0,6,7,0,576,569,subcell,forced-subcell,0,569
819,230,6,14,0.000771605,0.000763259,0.989183,0,2,2,1,1,0,0,0,0.989183,0,0,0,6,7,0,576,570,subcell,forced-subcell,0,570
