shellH,element,row,col,cellArea,activeArea,areaFraction,outerEdgeCrossings,holeEdgeCrossings,totalBoundaryCrossings,holeOverlapCount,holeThroughCell,complexBoundary,sliverRisk,smallRetainedRegion,bboxFillRatio,minVisibleTriangleArea,triangleAreaEstimate,triangleAreaRelativeError,subCellDiv,triGaussN,visibleTriangles,candidateIntegrationPoints,acceptedIntegrationPoints,backend,policyReason,fallback,integrationPoints
819,93,9,3,0.01,0.01,1,1,0,1,0,0,0,0,0,1,0.005,0.01,1.9082e-15,5,7,2,14,14,triangle,forced-triangle,0,14
819,90,9,0,0.01,0.01,1,2,0,2,0,0,0,0,0,1,0.005,0.01,6.93889e-16,5,7,2,14,14,triangle,forced-triangle,0,14
819,69,6,9,0.01,0.01,1,1,0,1,0,0,0,0,0,1,0.005,0.01,1.38778e-15,5,7,2,14,14,triangle,forced-triangle,0,14
819,97,9,7,0.01,0.01,1,1,0,1,0,0,0,0,0,1,0.005,0.01,1.73472e-16,5,7,2,14,14,triangle,forced-triangle,0,14
819,79,7,9,0.01,0.01,1,1,0,1,0,0,0,0,0,1,0.005,0.01,1.73472e-16,5,7,2,14,14,triangle,forced-triangle,0,14
819,92,9,2,0.01,0.01,1,1,0,1,0,0,0,0,0,1,0.005,0.01,3.1225e-15,5,7,2,14,14,triangle,forced-triangle,0,14
819,99,9,9,0.01,0.01,1,2,0,2,0,0,0,0,0,1,0.005,0.01,1.38778e-15,5,7,2,14,14,triangle,forced-triangle,0,14
819,95,9,5,0.01,0.01,1,1,0,1,0,0,0,0,0,1,0.005,0.01,4.16334e-15,5,7,2,14,14,triangle,forced-triangle,0,14
819,59,5,9,0.01,0.01,1,1,0,1,0,0,0,0,0,1,0.005,0.01,4.16334e-15,5,7,2,14,14,triangle,forced-triangle,0,14
819,89,8,9,0.01,0.01,1,1,0,1,0,0,0,0,0,1,0.005,0.01,1.38778e-15,5,7,2,14,14,triangle,forced-triangle,0,14
819,94,9,4,0.01,0.01,1,1,0,1,0,0,0,0,0,1,0.005,0.01,2.42861e-15,5,7,2,14,14,triangle,forced-triangle,0,14
819,96,9,6,0.01,0.01,1,1,0,1,0,0,0,0,0,1,0.005,0.01,1.38778e-15,5,7,2,14,14,triangle,forced-triangle,0,14
819,91,9,1,0.01,0.01,1,1,0,1,0,0,0,0,0,1,0.005,0.01,6.93889e-16,5,7,2,14,14,triangle,forced-triangle,0,14
819,98,9,8,0.01,0.00989528,0.989528,1,2,3,1,1,0,0,0,0.989528,0.000104723,0.00989528,2.98246e-08,5,7,3,21,21,triangle,forced-triangle,0,21
819,2,0,2,0.01,0.01,1,1,0,1,0,0,0,0,0,1,0.005,0.01,3.46945e-16,5,7,2,14,14,triangle,forced-triangle,0,14
819,3,0,3,0.01,0.01,1,1,0,1,0,0,0,0,0,1,0.005,0.01,5.20417e-16,5,7,2,14,14,triangle,forced-triangle,0,14
819,6,0,6,0.01,0.01,1,1,0,1,0,0,0,0,0,1,0.005,0.01,3.46945e-16,5,7,2,14,14,triangle,forced-triangle,0,14
