metric,value
trimRegisteredShell,1
trimShell,1
trimHoleShell,1
elemTotal,1296
elemIn,1149
elemCut,98
elemOut,49
standardQuadraturePoints,18384
subCellCandidatePoints,0
subCellAcceptedPoints,0
triangleIntegrationPoints,5691
candidateQuadraturePoints,24075
activeQuadraturePoints,24075
activeCandidateQuadratureRatio,1
stiffnessIntegratedParametricArea,0.934093
stiffnessIntegratedPhysicalArea,1.5852e+06
activeParametricAreaReference,0.934633
activeAreaConsistencyError,0.000577816
policySubcell,0
policyTriangle,98
policyFallback,0
severitySmallArea,18
severityHoleThrough,98
severitySliver,2
areaFractionSamples,98
minAreaFraction,0.000194679
maxAreaFraction,1
meanAreaFraction,0.635077
areaFractionBin0,3
areaFractionBin1,4
areaFractionBin2,3
areaFractionBin3,8
areaFractionBin4,15
areaFractionBin5,65
policyReason.none,0
policyReason.mild-cut,0
policyReason.small-retained-region,0
policyReason.tiny-support,0
policyReason.sliver-risk,0
policyReason.hole-through-cell,0
policyReason.complex-boundary,0
policyReason.zero-visible,0
policyReason.cost-preferred-triangle,0
policyReason.area-guard-fallback,0
policyReason.forced-triangle,98
policyReason.forced-subcell,0
policyReason.fallback,0
pressurePointsTested,0
pressurePointsRejectedByTrim,0
pressureRejectionRatio,0
pressureIntegratedPhysicalArea,0
pressureAppliedResultant,0
pressureResultantReference,0
pressureResultantRelativeError,0
lineLoadPointsTested,0
lineLoadPointsRejectedByTrim,0
lineLoadRejectionRatio,0
lineLoadIntegratedLength,4001.04
lineLoadAppliedResultant,400104
lineLoadResultantReference,400104
lineLoadResultantError,0
lineLoadResultantRelativeError,0
couplingPointsTested,0
couplingPointsAcceptedBothDomains,0
couplingPointsRejectedByMasterTrim,0
couplingPointsRejectedBySlaveTrim,0
couplingAcceptanceRatio,0
couplingMasterRejectionRatio,0
couplingSlaveRejectionRatio,0
trimClassifyMs,13.74
trimClipTriMs,0.753
trimTotalMs,1043.36
