shellH,element,row,col,cellArea,activeArea,areaFraction,outerEdgeCrossings,holeEdgeCrossings,totalBoundaryCrossings,holeOverlapCount,holeThroughCell,complexBoundary,sliverRisk,smallRetainedRegion,bboxFillRatio,minVisibleTriangleArea,triangleAreaEstimate,triangleAreaRelativeError,subCellDiv,triGaussN,visibleTriangles,candidateIntegrationPoints,acceptedIntegrationPoints,backend,policyReason,fallback,integrationPoints
1165,121,10,1,0.00694444,1.54142e-05,0.00221964,1,0,1,0,0,0,0,1,0.5,0,0,0,5,7,0,400,2,subcell,forced-subcell,0,2
1165,138,11,6,0.00694444,3.85355e-06,0.000554911,1,0,1,0,0,0,0,1,0.5,0,0,0,5,7,0,400,0,subcell,forced-subcell,0,0
1165,139,11,7,0.00694444,0.000786869,0.113309,4,0,4,0,0,1,0,1,0.534905,0,0,0,5,7,0,400,45,subcell,forced-subcell,0,45
1165,56,4,8,0.00694444,0.0020453,0.294523,0,7,7,1,1,1,0,0,0.740066,0,0,0,5,7,0,400,123,subcell,forced-subcell,0,123
1165,68,5,8,0.00694444,0.00193056,0.278,0,1,1,1,1,0,0,0,1,0,0,0,5,7,0,400,120,subcell,forced-subcell,0,120
1165,80,6,8,0.00694444,0.00300288,0.432415,0,14,14,1,1,1,0,0,0.446188,0,0,0,5,7,0,400,175,subcell,forced-subcell,0,175
1165,122,10,2,0.00694444,0.000889563,0.128097,1,0,1,0,0,0,0,1,0.565255,0,0,0,5,7,0,400,52,subcell,forced-subcell,0,52
1165,123,10,3,0.00694444,0.00225791,0.325139,4,0,4,0,0,1,0,0,0.767453,0,0,0,5,7,0,400,130,subcell,forced-subcell,0,130
1165,62,5,2,0.00694444,0.00501389,0.722,0,1,1,1,1,0,0,0,1,0,0,0,5,7,0,400,280,subcell,forced-subcell,0,280
1165,50,4,2,0.00694444,0.00512863,0.738523,0,7,7,1,1,1,0,0,0.877135,0,0,0,5,7,0,400,289,subcell,forced-subcell,0,289
1165,140,11,8,0.00694444,0.00215522,0.310352,1,0,1,0,0,0,0,0,0.759042,0,0,0,5,7,0,400,123,subcell,forced-subcell,0,123
1165,141,11,9,0.00694444,0.00352357,0.507394,1,0,1,0,0,0,0,0,0.837401,0,0,0,5,7,0,400,202,subcell,forced-subcell,0,202
1165,44,3,8,0.00694444,0.00581161,0.836872,0,9,9,1,1,1,0,0,0.836872,0,0,0,5,7,0,400,334,subcell,forced-subcell,0,334
1165,74,6,2,0.00694444,0.00582003,0.838084,0,9,9,1,1,1,0,0,0.838084,0,0,0,5,7,0,400,332,subcell,forced-subcell,0,332
1165,75,6,3,0.00694444,0.000266187,0.0383309,0,6,6,1,1,1,1,1,0.407972,0,0,0,5,7,0,400,16,subcell,forced-subcell,0,16
