shellH,element,row,col,cellArea,activeArea,areaFraction,outerEdgeCrossings,holeEdgeCrossings,totalBoundaryCrossings,holeOverlapCount,holeThroughCell,complexBoundary,sliverRisk,smallRetainedRegion,bboxFillRatio,minVisibleTriangleArea,triangleAreaEstimate,triangleAreaRelativeError,subCellDiv,triGaussN,visibleTriangles,candidateIntegrationPoints,acceptedIntegrationPoints,backend,policyReason,fallback,integrationPoints
1165,121,10,1,0.00694444,1.54142e-05,0.00221964,1,0,1,0,0,0,0,1,0.5,1.54142e-05,1.54142e-05,7.09973e-14,18,7,1,7,7,triangle,tiny-support,0,7
1165,62,5,2,0.00694444,0.00501389,0.722,0,1,1,1,1,0,0,0,1,0.000965278,0.00501389,1.1632e-07,7,7,4,28,28,triangle,hole-through-cell,0,28
1165,142,11,10,0.00694444,0.00489192,0.704436,1,0,1,0,0,0,0,0,0.877302,0.00210387,0.00489192,7.0922e-15,5,7,2,14,14,triangle,cost-preferred-triangle,0,14
1165,143,11,11,0.00694444,0.00626027,0.901479,2,0,2,0,0,0,0,0,0.901479,0.00278805,0.00626027,1.1084e-15,5,7,2,14,14,triangle,cost-preferred-triangle,0,14
1165,10,0,10,0.00694444,0.00694444,1,1,0,1,0,0,0,0,0,1,0.00347222,0.00694444,1.3739e-15,5,7,2,14,14,triangle,cost-preferred-triangle,0,14
1165,11,0,11,0.00694444,0.00694444,1,2,0,2,0,0,0,0,0,1,0.00347222,0.00694444,7.49401e-16,5,7,2,14,14,triangle,cost-preferred-triangle,0,14
1165,119,9,11,0.00694444,0.00694444,1,1,0,1,0,0,0,0,0,1,0.00347222,0.00694444,6.245e-15,5,7,2,14,14,triangle,cost-preferred-triangle,0,14
1165,2,0,2,0.00694444,0.00694444,1,1,0,1,0,0,0,0,0,1,0.00347222,0.00694444,1.249e-16,5,7,2,14,14,triangle,cost-preferred-triangle,0,14
1165,3,0,3,0.00694444,0.00694444,1,1,0,1,0,0,0,0,0,1,0.00347222,0.00694444,2.498e-16,5,7,2,14,14,triangle,cost-preferred-triangle,0,14
1165,8,0,8,0.00694444,0.00694444,1,1,0,1,0,0,0,0,0,1,0.00347222,0.00694444,8.74301e-16,5,7,2,14,14,triangle,cost-preferred-triangle,0,14
1165,9,0,9,0.00694444,0.00694444,1,1,0,1,0,0,0,0,0,1,0.00347222,0.00694444,1.249e-15,5,7,2,14,14,triangle,cost-preferred-triangle,0,14
1165,35,2,11,0.00694444,0.00694444,1,1,0,1,0,0,0,0,0,1,0.00347222,0.00694444,1.249e-15,5,7,2,14,14,triangle,cost-preferred-triangle,0,14
1165,48,4,0,0.00694444,0.00694444,1,1,0,1,0,0,0,0,0,1,0.00347222,0.00694444,2.498e-16,5,7,2,14,14,triangle,cost-preferred-triangle,0,14
1165,71,5,11,0.00694444,0.00694444,1,1,0,1,0,0,0,0,0,1,0.00347222,0.00694444,1.4988e-15,5,7,2,14,14,triangle,cost-preferred-triangle,0,14
1165,83,6,11,0.00694444,0.00694444,1,1,0,1,0,0,0,0,0,1,0.00347222,0.00694444,5.1209e-15,5,7,2,14,14,triangle,cost-preferred-triangle,0,14
