shellH,physicalLengthU,physicalLengthV,patchAspectRatio,minFeatureScaleUV,minFeatureScalePhysical,targetElementSizeU,targetElementSizeV,targetElementAspectRatio,minBoundaryDistanceUV,targetSpansPerFeature,degreeU,degreeV,ctrlU,ctrlV,quadGaussN,subCellDiv,triGaussN,lineGaussLoad,lineGaussBC,lineGaussCouple,coupleSegments,coupleMapSamples,weakBoundary,couplingBoundary,loadBoundary,hole,corner,narrowBridge,shortBoundary,reasons
1159,347.707,750,2.15699,0,0,49.6724,107.143,2.15699,0,0,3,3,10,10,4,1,7,4,4,5,3,3,0,0,0,0,0,0,0,
1160,265.83,750,2.82135,0,0,37.9757,107.143,2.82135,0,0,3,3,10,10,4,1,7,4,4,5,3,3,0,0,0,0,0,0,0,
1161,134.17,750,5.58992,0,0,134.17,107.143,1.25225,0,0,3,3,4,10,4,1,7,4,4,5,3,3,0,0,0,0,0,0,0,
1162,400,750,1.875,0,0,57.1429,107.143,1.875,0,0,3,3,10,10,4,1,7,4,4,5,3,3,0,0,0,0,0,0,0,
1163,395.338,750,1.89711,0,0,56.4768,107.143,1.89711,0,0,3,3,10,10,4,1,7,4,4,5,3,3,0,0,0,0,0,0,0,
1164,400,750,1.875,0,0,57.1429,107.143,1.875,0,0,3,3,10,10,4,1,7,4,4,5,3,3,0,0,0,0,0,0,0,
1165,430.868,327.8,1.31442,9.52912e-22,3.12365e-19,35.9056,27.3167,1.31442,0,6,3,3,15,15,4,5,7,4,4,5,3,3,0,0,0,1,28,0,0,trimmed-or-operator-domain|trim-boundary-chain|sharp-corner-feature|trim-hole-feature
1166,395.338,750,1.89711,0,0,56.4768,107.143,1.89711,0,0,3,3,10,10,4,1,7,4,4,5,3,3,0,0,0,0,0,0,0,
1167,514.735,750,1.45706,0,0,73.5336,107.143,1.45706,0,0,3,3,10,10,4,1,7,4,4,5,3,3,0,0,0,0,0,0,0,
1168,439.31,750,1.70722,0,0,62.7586,107.143,1.70722,0,0,3,3,10,10,4,1,7,4,4,5,3,3,0,0,0,0,0,0,0,
1169,400,750,1.875,0,0,57.1429,107.143,1.875,0,0,3,3,10,10,4,1,7,4,4,5,3,3,0,0,0,0,0,0,0,
1170,750,450,1.66667,0,0,107.143,64.2857,1.66667,0,0,3,3,10,10,4,1,7,4,4,5,3,3,0,0,0,0,0,0,0,
1171,750,100,7.5,0,0,107.143,100,1.07143,0,0,3,3,10,4,4,1,7,4,4,5,3,3,0,0,0,0,0,0,0,
1172,750,100,7.5,0,0,107.143,100,1.07143,0,0,3,3,10,4,4,1,7,4,4,5,3,3,0,0,0,0,0,0,0,
1174,144.609,750,5.18641,0,0,144.609,107.143,1.34968,0,0,3,3,4,10,4,1,7,4,4,5,3,3,0,0,0,0,0,0,0,
1175,750,29.8806,25.0999,0,0,107.143,29.8806,3.5857,0,0,3,3,10,4,4,1,7,4,4,5,3,3,0,0,0,0,0,0,0,
1176,144.609,750,5.18641,0,0,144.609,107.143,1.34968,0,0,3,3,4,10,4,1,7,4,4,5,3,3,0,0,0,0,0,0,0,
