metric,value
trimRegisteredShell,92
trimShell,2
trimHoleShell,1
elemTotal,288
elemIn,111
elemCut,119
elemOut,58
standardQuadraturePoints,1776
subCellCandidatePoints,3375
subCellAcceptedPoints,3023
triangleIntegrationPoints,2226
candidateQuadraturePoints,7377
activeQuadraturePoints,7025
activeCandidateQuadratureRatio,0.952284
stiffnessIntegratedParametricArea,1.43766
stiffnessIntegratedPhysicalArea,2.64956e+06
activeParametricAreaReference,1.43767
activeAreaConsistencyError,7.47908e-06
policySubcell,0
policyTriangle,104
policyFallback,15
severitySmallArea,12
severityHoleThrough,20
severitySliver,1
areaFractionSamples,119
minAreaFraction,0.000554911
maxAreaFraction,1
meanAreaFraction,0.806923
areaFractionBin0,4
areaFractionBin1,2
areaFractionBin2,1
areaFractionBin3,5
areaFractionBin4,7
areaFractionBin5,100
policyReason.none,0
policyReason.mild-cut,0
policyReason.small-retained-region,0
policyReason.tiny-support,4
policyReason.sliver-risk,1
policyReason.hole-through-cell,19
policyReason.complex-boundary,4
policyReason.zero-visible,0
policyReason.cost-preferred-triangle,76
policyReason.area-guard-fallback,12
policyReason.forced-triangle,0
policyReason.forced-subcell,0
policyReason.fallback,3
pressurePointsTested,112
pressurePointsRejectedByTrim,0
pressureRejectionRatio,0
pressureIntegratedPhysicalArea,300000
pressureAppliedResultant,18000
pressureResultantReference,18000
pressureResultantRelativeError,0
lineLoadPointsTested,0
lineLoadPointsRejectedByTrim,0
lineLoadRejectionRatio,0
lineLoadIntegratedLength,0
lineLoadAppliedResultant,0
lineLoadResultantReference,0
lineLoadResultantError,0
lineLoadResultantRelativeError,0
couplingPointsTested,232
couplingPointsAcceptedBothDomains,162
couplingPointsRejectedByMasterTrim,70
couplingPointsRejectedBySlaveTrim,0
couplingAcceptanceRatio,0.698276
couplingMasterRejectionRatio,0.301724
couplingSlaveRejectionRatio,0
trimClassifyMs,0.386
trimClipTriMs,213.649
trimTotalMs,8927.88
