shellH,element,row,col,cellArea,activeArea,areaFraction,outerEdgeCrossings,holeEdgeCrossings,totalBoundaryCrossings,holeOverlapCount,holeThroughCell,complexBoundary,sliverRisk,smallRetainedRegion,bboxFillRatio,minVisibleTriangleArea,triangleAreaEstimate,triangleAreaRelativeError,subCellDiv,triGaussN,visibleTriangles,candidateIntegrationPoints,acceptedIntegrationPoints,backend,policyReason,fallback,integrationPoints
1137,58,5,8,0.01,0,0,1,0,1,0,0,0,0,1,0,0,0,0,5,7,0,400,0,fallback-subcell,fallback,1,0
1137,16,1,6,0.01,0,0,1,0,1,0,0,0,0,1,0,0,0,0,5,7,0,400,0,fallback-subcell,fallback,1,0
1137,79,7,9,0.01,0,0,1,0,1,0,0,0,0,1,0,0,0,0,5,7,0,400,0,fallback-subcell,fallback,1,0
1137,89,8,9,0.01,0.0025,0.25,1,0,1,0,0,0,0,0,0.5,0.0025,0.0025,1.73472e-16,5,7,1,7,7,triangle,forced-triangle,0,7
1137,26,2,6,0.01,0.0025,0.25,1,0,1,0,0,0,0,0,0.5,0.0025,0.0025,5.20417e-16,5,7,1,7,7,triangle,forced-triangle,0,7
1137,68,6,8,0.01,0.0025,0.25,1,0,1,0,0,0,0,1,0.5,0.0025,0.0025,1.42247e-14,5,7,1,7,7,triangle,forced-triangle,0,7
1137,99,9,9,0.01,0.0075,0.75,2,0,2,0,0,0,0,0,0.75,0.0025,0.0075,2.31296e-16,5,7,2,14,14,triangle,forced-triangle,0,14
1137,91,9,1,0.01,0.01,1,1,0,1,0,0,0,0,0,1,0.005,0.01,0,5,7,2,14,14,triangle,forced-triangle,0,14
1137,94,9,4,0.01,0.01,1,1,0,1,0,0,0,0,0,1,0.005,0.01,1.73472e-16,5,7,2,14,14,triangle,forced-triangle,0,14
1137,97,9,7,0.01,0.01,1,1,0,1,0,0,0,0,0,1,0.005,0.01,1.38778e-15,5,7,2,14,14,triangle,forced-triangle,0,14
1137,95,9,5,0.01,0.01,1,1,0,1,0,0,0,0,0,1,0.005,0.01,3.46945e-16,5,7,2,14,14,triangle,forced-triangle,0,14
1137,36,3,6,0.01,0.0075,0.75,1,0,1,0,0,0,0,0,0.75,0.0025,0.0075,3.93204e-15,5,7,2,14,14,triangle,forced-triangle,0,14
1137,37,3,7,0.01,0,0,1,0,1,0,0,0,0,1,0,0,0,0,5,7,0,400,0,fallback-subcell,fallback,1,0
1137,93,9,3,0.01,0.01,1,1,0,1,0,0,0,0,0,1,0.005,0.01,1.73472e-16,5,7,2,14,14,triangle,forced-triangle,0,14
1137,88,8,8,0.01,0.01,1,0,0,0,0,0,0,0,0,1,0.005,0.01,3.46945e-16,5,7,2,14,14,triangle,forced-triangle,0,14
1137,67,6,7,0.01,0.01,1,0,0,0,0,0,0,0,0,1,0.005,0.01,1.00614e-14,5,7,2,14,14,triangle,forced-triangle,0,14
1137,90,9,0,0.01,0.01,1,2,0,2,0,0,0,0,0,1,0.005,0.01,1.73472e-16,5,7,2,14,14,triangle,forced-triangle,0,14
1137,98,9,8,0.01,0.01,1,1,0,1,0,0,0,0,0,1,0.005,0.01,1.38778e-15,5,7,2,14,14,triangle,forced-triangle,0,14
1137,57,5,7,0.01,0.0075,0.75,1,0,1,0,0,0,0,0,0.75,0.0025,0.0075,7.17019e-15,5,7,2,14,14,triangle,forced-triangle,0,14
