metric,value
trimRegisteredShell,1
trimShell,1
trimHoleShell,0
elemTotal,100
elemIn,44
elemCut,40
elemOut,16
standardQuadraturePoints,704
subCellCandidatePoints,0
subCellAcceptedPoints,0
triangleIntegrationPoints,469
candidateQuadraturePoints,1173
activeQuadraturePoints,1173
activeCandidateQuadratureRatio,1
stiffnessIntegratedParametricArea,0.75
stiffnessIntegratedPhysicalArea,7502.29
activeParametricAreaReference,0.75
activeAreaConsistencyError,5.92119e-16
policySubcell,0
policyTriangle,36
policyFallback,0
severitySmallArea,5
severityHoleThrough,0
severitySliver,0
areaFractionSamples,40
minAreaFraction,0
maxAreaFraction,1
meanAreaFraction,0.775
areaFractionBin0,4
areaFractionBin1,0
areaFractionBin2,0
areaFractionBin3,1
areaFractionBin4,4
areaFractionBin5,31
policyReason.none,0
policyReason.mild-cut,0
policyReason.small-retained-region,0
policyReason.tiny-support,0
policyReason.sliver-risk,0
policyReason.hole-through-cell,0
policyReason.complex-boundary,0
policyReason.zero-visible,4
policyReason.cost-preferred-triangle,36
policyReason.area-guard-fallback,0
policyReason.forced-triangle,0
policyReason.forced-subcell,0
policyReason.fallback,0
pressurePointsTested,400
pressurePointsRejectedByTrim,100
pressureRejectionRatio,0.25
pressureIntegratedPhysicalArea,7500
pressureAppliedResultant,750
pressureResultantReference,750
pressureResultantRelativeError,0
lineLoadPointsTested,0
lineLoadPointsRejectedByTrim,0
lineLoadRejectionRatio,0
lineLoadIntegratedLength,0
lineLoadAppliedResultant,0
lineLoadResultantReference,0
lineLoadResultantError,0
lineLoadResultantRelativeError,0
couplingPointsTested,0
couplingPointsAcceptedBothDomains,0
couplingPointsRejectedByMasterTrim,0
couplingPointsRejectedBySlaveTrim,0
couplingAcceptanceRatio,0
couplingMasterRejectionRatio,0
couplingSlaveRejectionRatio,0
trimClassifyMs,39.111
trimClipTriMs,51.776
trimTotalMs,1210.2
